participant,exp,task,item,status,TextGridLabel,duration,sex
p04,carrier,1,lakadiaisto,hit,i,75.13,m
p04,carrier,1,lakaduaisto,hit,u,81.56,m
p04,carrier,1,lakaduaisto,hit,a,68.99,m
p04,carrier,1,lakaduaisto,hit,i,57.43,m
p04,carrier,1,lakafiaisto,hit,i,85.41,m
p04,carrier,1,lakafiaisto,hit,a,98.76,m
p04,carrier,1,lakafiaisto,hit,i,72.83,m
p04,carrier,1,lakafuaisto,hit,u,41.16,m
p04,carrier,1,lakafuaisto,hit,a,44.26,m
p04,carrier,1,lakafuaisto,hit,i,39.8,m
p04,carrier,1,lakagiaisto,hit,i,59.43,m
p04,carrier,1,lakagiaisto,hit,a,50.61,m
p04,carrier,1,lakagiaisto,hit,i,45.09,m
p04,carrier,1,lakaguaisto,hit,u,63.98,m
p04,carrier,1,lakaguaisto,hit,a,63.53,m
p04,carrier,1,lakaguaisto,hit,i,59.91,m
p04,carrier,1,lakakuaisto,hit,u,188.59,m
p04,carrier,1,lakakuaisto,hit,a,89.33,m
p04,carrier,1,lakakuaisto,hit,i,104.11,m
p04,carrier,1,lakapiaisto,hit,i,55.09,m
p04,carrier,1,lakapiaisto,hit,a,99.24,m
p04,carrier,1,lakapiaisto,hit,i,71.91,m
p04,carrier,1,lakapuaisto,hit,u,51.35,m
p04,carrier,1,lakapuaisto,hit,a,59.78,m
p04,carrier,1,lakapuaisto,hit,i,57.14,m
p04,carrier,1,lakatiaisto,hit,i,77.39,m
p04,carrier,1,lakatiaisto,hit,a,77.67,m
p04,carrier,1,lakatiaisto,hit,i,81.68,m
p04,carrier,1,lakatuaisto,hit,u,40.08,m
p04,carrier,1,lakatuaisto,hit,a,66.45,m
p04,carrier,1,lakatuaisto,hit,i,52.16,m
p04,carrier,1,liamo,hit,i,52.17,m
p04,carrier,1,liamo,hit,a,80.86,m
p04,carrier,1,lifro,hit,i,86.59,m
p04,carrier,1,lliape,hit,i,83.95,m
p04,carrier,1,lliape,hit,a,66.34,m
p04,carrier,1,manhiala,hit,i,70.48,m
p04,carrier,1,manhiala,hit,a,78.87,m
p04,carrier,1,matio,hit,a,100.97,m
p04,carrier,1,mebochiana,hit,i,27.2,m
p04,carrier,1,mebochiana,hit,a,75.34,m
p04,carrier,1,nhiape,hit,i,71.03,m
p04,carrier,1,nhiape,hit,a,90.33,m
p04,carrier,1,pachialo,hit,i,40.22,m
p04,carrier,1,pachialo,hit,a,55.28,m
p04,carrier,1,palufaro,hit,a,106.42,m
p04,carrier,1,palufauto,hit,a,116.35,m
p04,carrier,1,palufauto,hit,u,49.36,m
p04,carrier,1,palulapi,hit,a,107.4,m
p04,carrier,1,paluparo,hit,a,98.07,m
p04,carrier,1,palutrauco,hit,a,91.28,m
p04,carrier,1,palutrauco,hit,u,48.47,m
p04,carrier,1,polafo,hit,a,82.9,m
p04,carrier,1,rausto,hit,a,65.2,m
p04,carrier,1,rausto,hit,u,47.43,m
p04,carrier,1,ruyiola,hit,i,76.28,m
p04,carrier,1,ruyiola,hit,o,108.87,m
p04,carrier,1,tulaifo,hit,a,54.35,m
p04,carrier,1,tulaifo,hit,i,36.69,m
p04,carrier,2,aguacate,hit,a,68.98,m
p04,carrier,2,apellido,hit,j,66.26,m
p04,carrier,2,apellido,hit,i,105.28,m
p04,carrier,2,ayer,hit,j,47.11,m
p04,carrier,2,ayer,hit,e,90.36,m
p04,carrier,2,ayuda,hit,j,72.46,m
p04,carrier,2,ayuda,hit,u,129.38,m
p04,carrier,2,baile,hit,a,70.87,m
p04,carrier,2,baile,hit,i,43.67,m
p04,carrier,2,ballena,hit,j,40.41,m
p04,carrier,2,ballena,hit,e,60.43,m
p04,carrier,2,balon,hit,o,89.01,m
p04,carrier,2,bandera,hit,e,131.07,m
p04,carrier,2,baya,hit,j,39.11,m
p04,carrier,2,baya,hit,a,85.05,m
p04,carrier,2,bella,hit,j,49.94,m
p04,carrier,2,bella,hit,a,50.67,m
p04,carrier,2,belleza,hit,j,53.28,m
p04,carrier,2,belleza,hit,e,105.97,m
p04,carrier,2,bellisima,hit,j,48.5,m
p04,carrier,2,bellisima,hit,i,86.87,m
p04,carrier,2,bellota,hit,j,57.05,m
p04,carrier,2,bellota,hit,o,89.67,m
p04,carrier,2,billete,hit,j,83.95,m
p04,carrier,2,billete,hit,e,100.18,m
